grid_id,hb_peo_density,hb_distance,up_la,down_la,right_lon,left_lon,lon,la,wb_peo_density,wb_distance,jh_density,jh_ratio,poi_sum,roaddensity,near_dist,time_to_sub,事件活动_count,交通设施服务_count,住宿服务_count,体育休闲服务_count,公共设施_count,公司企业_count,医疗保健服务_count,商务住宅_count,地名地址信息_count,室内设施_count,摩托车服务_count,政府机构及社会团体_count,汽车服务_count,汽车维修_count,汽车销售_count,生活服务_count,科教文化服务_count,购物服务_count,通行设施_count,道路附属设施_count,金融保险服务_count,风景名胜_count,餐饮服务_count,evenness,diversity
"(119.910703, 29.749438)",0.0,0.0,29.754438,29.744438,119.915703,119.905703,119.910703,29.749438,0.0,0.0,0.0,0.0,0.0,0.0,56.50915301155322,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.920703, 29.749438)",0.0,0.0,29.754438,29.744438,119.925703,119.915703,119.920703,29.749438,0.0,0.0,0.0,0.0,0.0,0.0,56.040062229874586,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.930703, 29.749438)",0.0,0.0,29.754438,29.744438,119.935703,119.925703,119.930703,29.749438,0.0,0.0,0.0,0.0,0.0,0.0,55.58483843494784,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.940703, 29.749438)",0.0,0.0,29.754438,29.744438,119.945703,119.935703,119.940703,29.749438,0.0,0.0,0.0,0.0,0.0,0.0,55.143793152489685,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.990703, 29.749438)",0.0,0.0,29.754438,29.744438,119.995703,119.985703,119.990703,29.749438,0.0,0.0,0.0,0.0,0.0,0.0,53.1633506950177,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(120.000703, 29.749438)",0.0,0.0,29.754438,29.744438,120.005703,119.995703,120.000703,29.749438,0.0,0.0,0.0,0.0,0.0,0.0,52.81444743225804,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.880703, 29.759438)",0.0,0.0,29.764438,29.754438,119.885703,119.875703,119.880703,29.759438,0.0,0.0,0.0,0.0,1.0,0.0,57.14126432318698,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.890703, 29.759438)",0.0,0.0,29.764438,29.754438,119.895703,119.885703,119.890703,29.759438,0.0,0.0,0.0,0.0,0.0,0.0,56.62498696207695,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.900703, 29.759438)",0.0,0.0,29.764438,29.754438,119.905703,119.895703,119.900703,29.759438,0.0,0.0,0.0,0.0,1.0,0.0,56.12177017307308,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.910703, 29.759438)",0.0,0.0,29.764438,29.754438,119.915703,119.905703,119.910703,29.759438,0.0,0.0,0.0,0.0,0.0,0.0,55.63163498520044,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.920703, 29.759438)",0.0,0.0,29.764438,29.754438,119.925703,119.915703,119.920703,29.759438,0.0,0.0,0.0,0.0,0.0,0.0,55.15527413811409,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.930703, 29.759438)",0.0,0.0,29.764438,29.754438,119.935703,119.925703,119.930703,29.759438,0.0,0.0,0.0,0.0,2.0,0.0,54.692686836983086,480.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453
"(119.940703, 29.759438)",0.0,0.0,29.764438,29.754438,119.945703,119.935703,119.940703,29.759438,0.0,0.0,0.0,0.0,0.0,0.0,54.244572793407805,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(119.950703, 29.759438)",0.0,0.0,29.764438,29.754438,119.955703,119.945703,119.950703,29.759438,0.0,0.0,0.0,0.0,0.0,0.157852841691,53.81095327227623,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
